path	dimensions	bytes
Audit\small_capsule_preview_120x45.png	120x45	16149
Audit\small_capsule_preview_184x69.png	184x69	35593
header_capsule_920x430.png	920x430	786914
library_capsule_600x900.png	600x900	790590
library_header_920x430.png	920x430	786914
library_hero_3840x1240.png	3840x1240	6757019
library_logo_1280x720.png	1280x720	12179
main_capsule_1232x706.png	1232x706	1509328
page_background_1438x810.png	1438x810	2110641
professional_keyart_1920x1080.png	1920x1080	3511532
shortcut_icon_256x256.png	256x256	125652
small_capsule_462x174.png	462x174	182529
source_keyart_1920x1080.png	1920x1080	2523307
vertical_capsule_748x896.png	748x896	1003187
