path	width	height	bytes	average_luminance	luminance_stddev	dark_pixel_pct	purple_pixel_pct	edge_busy_pct
Marketing\Screenshots\01-title-session-start.png	1920	1080	2437675	123.3	36.39	0	0	0.045
Marketing\Screenshots\02-question-phone.png	1920	1080	2510526	124.68	78.04	10.593	0.17	6.071
Marketing\Screenshots\03-hotspot-preview.png	1920	1080	2544187	120.28	72.42	10.494	0.17	6.071
Marketing\Screenshots\04-dialogue-scroll.png	1920	1080	2573968	112.85	69.8	10.941	0.17	6.071
Marketing\Screenshots\05-memory-complete.png	1920	1080	2473505	140.39	68.1	0.019	0	0
Marketing\Screenshots\06-closing-card.png	1920	1080	2231034	167.85	64.15	0.235	0	0
Marketing\Screenshots\07-record-archive.png	1920	1080	1672642	172.63	67.96	0.923	0	0
Marketing\Screenshots\08-record-delete.png	1920	1080	1653566	172.85	68.25	1.194	0	0
Marketing\Screenshots\09-accessibility-settings.png	1920	1080	1963499	135.52	66.44	1.602	0	0
Marketing\Screenshots\10-data-policy-delete.png	1920	1080	2015186	156.7	65.27	0.784	0	0
Marketing\Screenshots\11-title-continue.png	1920	1080	2440319	123.17	36.37	0.025	0	0.045
Marketing\SteamAssets\source_keyart_1920x1080.png	1920	1080	2523307	115.23	71.41	10.941	0.17	6.071
Marketing\SteamAssets\professional_keyart_1920x1080.png	1920	1080	3511532	146.45	64.73	0	0	0.067
Marketing\SteamAssets\header_capsule_920x430.png	920	430	786914	110.39	45.32	1.707	0	3.263
Marketing\SteamAssets\small_capsule_462x174.png	462	174	182529	109.93	44.54	0.549	0	2.597
Marketing\SteamAssets\main_capsule_1232x706.png	1232	706	1509328	116.85	43.64	0.27	0	1.392
Marketing\SteamAssets\vertical_capsule_748x896.png	748	896	1003187	107.81	46.75	1.206	0	0.206
Marketing\SteamAssets\library_capsule_600x900.png	600	900	790590	106.05	45.82	0.909	0	1.626
Marketing\SteamAssets\library_header_920x430.png	920	430	786914	110.39	45.32	1.707	0	3.263
Marketing\SteamAssets\library_hero_3840x1240.png	3840	1240	6757019	110.12	42.33	0.452	0	3.296
Marketing\SteamAssets\page_background_1438x810.png	1438	810	2110641	122.37	42.64	0	0	3.202
Marketing\SteamAssets\shortcut_icon_256x256.png	256	256	125652	130.95	46.22	0.488	0	0.41
